MalID,URL,ImageURL,Title,Airing,Synopsis,Type,Episodes,Score,StartDate,EndDate,Members,Rated
13667,https://myanimelist.net/anime/13667/Naruto__Shippuuden_Movie_6_-_Road_to_Ninja,https://cdn.myanimelist.net/images/anime/6/51863.jpg?s=27ab188d97eb1262acf899c2e9813bbe,Naruto: Shippuuden Movie 6 - Road to Ninja,false,"Returning home to Konohagakure, the young ninja celebrate defeating a group of supposed Akatsuki members. Naruto Uzumaki and Sakura Haruno, however, feel differently. Naruto is jealous of his comrades...",Movie,1,7.660000,2012-07-28 00:00:00 +0000 +0000,2012-07-28 00:00:00 +0000 +0000,251556,PG-13
2248,https://myanimelist.net/anime/2248/Naruto__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo_-_Konoha_no_Sato_no_Dai_Undoukai,https://cdn.myanimelist.net/images/anime/1/2473.jpg?s=540fd3ee478ab403e24fb781cae1e4ed,Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai,false,"The genin of Konoha are having a sports day filled with races, obstacle courses and of course the relay and the prize is a paid vacation for the winner. Unfortunately Naruto and his stomach are gettin...",Special,1,6.870000,2004-08-21 00:00:00 +0000 +0000,2004-08-21 00:00:00 +0000 +0000,67273,PG-13
20,https://myanimelist.net/anime/20/Naruto,https://cdn.myanimelist.net/images/anime/13/17405.jpg?s=59241469eb470604a792add6fbe7cce6,Naruto,false,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi'...",TV,220,7.930000,2002-10-03 00:00:00 +0000 +0000,2007-02-08 00:00:00 +0000 +0000,2106248,PG-13
2144,https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panikku_Dattebayo,https://cdn.myanimelist.net/images/anime/6/76017.jpg?s=07ffbcb450ac4c783fc80d64c302cd4c,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,false,"Led by Kakashi Hatake, Naruto Uzumaki, Sakura Haruno, and Rock Lee are tasked to escort the extravagant Prince Michiru Tsuki and his spoiled son Hikaru to the prosperous Land of Moon when the two retu...",Movie,1,6.890000,2006-08-05 00:00:00 +0000 +0000,2006-08-05 00:00:00 +0000 +0000,165564,PG-13
10659,https://myanimelist.net/anime/10659/Naruto_Soyokazeden_Movie__Naruto_to_Mashin_to_Mitsu_no_Onegai_Dattebayo,https://cdn.myanimelist.net/images/anime/10/31573.jpg?s=6a58b632acb146691169f14b2d9f5860,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,false,"Naruto discovers a genie's bottle while he and the gang are at a genin grill party. When everyone finds out about the genie's ability to grant wishes, the ultimate chase begins. (Source: AniDB)",Movie,1,6.970000,2010-07-31 00:00:00 +0000 +0000,2010-07-31 00:00:00 +0000 +0000,43552,PG-13
19697,https://myanimelist.net/anime/19697/Toaru_Kagaku_no_Railgun_S__Motto_Marutto_Railgun,https://cdn.myanimelist.net/images/anime/2/52717.jpg?s=b5bbfa0c1d8fc74d84647518e6a97ad3,Toaru Kagaku no Railgun S: Motto Marutto Railgun,false,Toaru Kagaku no Railgun S specials that were released on Blu-ray and DVD volumes.,Special,2,7.060000,2013-07-24 00:00:00 +0000 +0000,2013-11-27 00:00:00 +0000 +0000,29586,PG-13
442,https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo,https://cdn.myanimelist.net/images/anime/6/76015.jpg?s=cf22c3c0297cf6dca2fb1c97ced2cd41,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,false,"Naruto Uzumaki and his squadmates, Sasuke Uchiha and Sakura Haruno, are sent on a mission to escort a movie crew on its way to film in the Land of Snow. They soon find out that they are accompanying a...",Movie,1,7.100000,2004-08-21 00:00:00 +0000 +0000,2004-08-21 00:00:00 +0000 +0000,233487,PG-13
12979,https://myanimelist.net/anime/12979/Naruto_SD__Rock_Lee_no_Seishun_Full-Power_Ninden,https://cdn.myanimelist.net/images/anime/13/36475.jpg?s=afbabba381a6eebe252dc3c6ed09067a,Naruto SD: Rock Lee no Seishun Full-Power Ninden,false,"Welcome to the Hidden Leaf Village. The village where Uzumaki Naruto, star of the TV show ""Naruto"" makes his home. Every day, countless powerful ninjas carry out missions and train to hone their skill...",TV,51,7.140000,2012-04-03 00:00:00 +0000 +0000,2013-03-26 00:00:00 +0000 +0000,73141,PG-13
4134,https://myanimelist.net/anime/4134/Naruto__Shippuuden_-_Shippuu_Konoha_Gakuen_Den,https://cdn.myanimelist.net/images/anime/5/51895.jpg?s=50657ee2b01cf3e31680314e7fe65981,"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",false,Naruto school special. Naruto is a new cool student and when he meets Sasuke they start fighting.,Special,1,7.150000,2008-02-06 00:00:00 +0000 +0000,2008-02-06 00:00:00 +0000 +0000,55689,PG-13
28825,https://myanimelist.net/anime/28825/Himouto_Umaru-chan,https://cdn.myanimelist.net/images/anime/12/75086.jpg?s=3859e8b6e84fb62187f8f71e86f02484,Himouto! Umaru-chan,false,"People are not always who they appear to be, as is the case with Umaru Doma, the perfect high school girl—that is, until she gets home! Once the front door closes, the real fun begins. When she dons h...",TV,12,7.150000,2015-07-09 00:00:00 +0000 +0000,2015-09-24 00:00:00 +0000 +0000,550325,PG-13
10686,https://myanimelist.net/anime/10686/Naruto__Honoo_no_Chuunin_Shiken_Naruto_vs_Konohamaru,https://cdn.myanimelist.net/images/anime/9/30813.jpg?s=55399a5c0c95cad6a6fb83e09dba727c,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,false,Naruto faces off against his old pupil Konohamaru in a tournament during the chuunin entrance exams.,Movie,1,7.150000,2011-07-30 00:00:00 +0000 +0000,2011-07-30 00:00:00 +0000 +0000,61651,PG-13
19511,https://myanimelist.net/anime/19511/Naruto__Shippuuden_-_Sunny_Side_Battle,https://cdn.myanimelist.net/images/anime/1047/91638.jpg?s=0fc6795322dd479caca2103d775de05b,Naruto: Shippuuden - Sunny Side Battle,false,"Back at their childhood home, siblings Itachi and Sasuke Uchiha experience an unusual morning together when Itachi becomes obsessed with cooking the perfect fried egg for Sasuke. Despite being complet...",Special,1,7.490000,2013-10-06 00:00:00 +0000 +0000,2013-10-06 00:00:00 +0000 +0000,51305,PG-13
28755,https://myanimelist.net/anime/28755/Boruto__Naruto_the_Movie,https://cdn.myanimelist.net/images/anime/4/78280.jpg?s=9d8b257b29ff99f0f136562547d0d465,Boruto: Naruto the Movie,false,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy...",Movie,1,7.460000,2015-08-07 00:00:00 +0000 +0000,2015-08-07 00:00:00 +0000 +0000,358532,PG-13
4437,https://myanimelist.net/anime/4437/Naruto__Shippuuden_Movie_2_-_Kizuna,https://cdn.myanimelist.net/images/anime/3/17830.jpg?s=bb43646538390435098f5ef84faa0437,Naruto: Shippuuden Movie 2 - Kizuna,false,"Unleashing a devastating surprise attack, flying ninjas from the Land of Sky are seeking revenge against their old enemy Konohagakure. Despite his eagerness to join the fight, Naruto Uzumaki is held u...",Movie,1,7.280000,2008-08-02 00:00:00 +0000 +0000,2008-08-02 00:00:00 +0000 +0000,206138,PG-13
2472,https://myanimelist.net/anime/2472/Naruto__Shippuuden_Movie_1,https://cdn.myanimelist.net/images/anime/6/79705.jpg?s=80162f3e16a4b76638f535bf23ac324c,Naruto: Shippuuden Movie 1,false,"A group of ninja is planning to revive a powerful demon, and once its spirit is reunited with its body, the world will be destroyed. The only way to prevent this from happening is for Shion, a shrine...",Movie,1,7.290000,2007-08-04 00:00:00 +0000 +0000,2007-08-04 00:00:00 +0000 +0000,232175,PG-13
6325,https://myanimelist.net/anime/6325/Naruto__Shippuuden_Movie_3_-_Hi_no_Ishi_wo_Tsugu_Mono,https://cdn.myanimelist.net/images/anime/7/14686.jpg?s=5085346e3ea0153df38c5b15de5b1abf,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,false,"After being sent to investigate the alarming disappearance of four bloodline limit-wielding ninjas from different countries, Kakashi Hatake, Naruto Uzumaki, Sakura Haruno, and Sai successfully discove...",Movie,1,7.330000,2009-08-01 00:00:00 +0000 +0000,2009-08-01 00:00:00 +0000 +0000,160530,PG-13
32365,https://myanimelist.net/anime/32365/Boruto__Naruto_the_Movie_-_Naruto_ga_Hokage_ni_Natta_Hi,https://cdn.myanimelist.net/images/anime/6/77678.jpg?s=fc407cec1b4439623be598ad1eb31867,Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,false,Bundled with the limited edition of Blu-ray/DVD of Boruto: Naruto the Movie.,Special,1,7.370000,2016-07-06 00:00:00 +0000 +0000,2016-07-06 00:00:00 +0000 +0000,84977,PG-13
10075,https://myanimelist.net/anime/10075/Naruto_x_UT,https://cdn.myanimelist.net/images/anime/3/30485.jpg?s=0e585f452876ec490cd1f922d26fad36,Naruto x UT,false,"All-new animation offered throughout UNIQLO clothing stores in Japan on January 1, 2011. The DVD contains an exclusive version of Mayonaka Orchestra, by the Japanese rock band Aqua Timez. A limited nu...",OVA,1,7.400000,2011-01-01 00:00:00 +0000 +0000,2011-01-01 00:00:00 +0000 +0000,43749,PG-13
8246,https://myanimelist.net/anime/8246/Naruto__Shippuuden_Movie_4_-_The_Lost_Tower,https://cdn.myanimelist.net/images/anime/3/23344.jpg?s=accb3be6ff4e0c4d7612bdaad5e466bc,Naruto: Shippuuden Movie 4 - The Lost Tower,false,"Led by Yamato, Naruto Uzumaki, Sakura Haruno, and Sai are assigned to capture Mukade, a rogue ninja who is pursuing the ancient chakra Ryuumyaku located underneath the Rouran ruins. While the Ryuumyak...",Movie,1,7.410000,2010-07-31 00:00:00 +0000 +0000,2010-07-31 00:00:00 +0000 +0000,190502,PG-13
10589,https://myanimelist.net/anime/10589/Naruto__Shippuuden_Movie_5_-_Blood_Prison,https://cdn.myanimelist.net/images/anime/13/41403.jpg?s=f4f60444cfbcda379ad585d64316a1c6,Naruto: Shippuuden Movie 5 - Blood Prison,false,"During their discussion of a sensitive investigation A, the Fourth Raikage, and his subordinates are ambushed by a cloaked intruder. As the Kumogakure leader repels the assault, he is shocked to disco...",Movie,1,7.440000,2011-07-30 00:00:00 +0000 +0000,2011-07-30 00:00:00 +0000 +0000,179035,PG-13
1735,https://myanimelist.net/anime/1735/Naruto__Shippuuden,https://cdn.myanimelist.net/images/anime/5/17407.jpg?s=2bf24a22a339223dcadb1cdfc3307b61,Naruto: Shippuuden,false,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the myster...",TV,500,8.190000,2007-02-15 00:00:00 +0000 +0000,2017-03-23 00:00:00 +0000 +0000,1769313,PG-13
838,https://myanimelist.net/anime/838/Narutaru__Mukuro_Naru_Hoshi_Tama_Taru_Ko,https://cdn.myanimelist.net/images/anime/10/12023.jpg?s=8dfc94b92c45916f8de54db0ca5054de,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,false,"During her summer holiday at her grandparents house Tamai Shiina, a young and cheerful schoolgirl, meets a strange looking creature. They befriend each other and Shiina names it ""Hoshimaru: The Round...",TV,13,6.060000,2003-07-07 00:00:00 +0000 +0000,2003-09-29 00:00:00 +0000 +0000,30455,R
28621,https://myanimelist.net/anime/28621/Subete_ga_F_ni_Naru,https://cdn.myanimelist.net/images/anime/9/76071.jpg?s=fdc6902408ec1ded27127502ae9f0863,Subete ga F ni Naru,false,"In a research facility hidden away on a remote island, genius programmer Shiki Magata has lived as a recluse for years. She rarely sees guests, but associate professor Souhei Saikawa and university st...",TV,11,7.270000,2015-10-09 00:00:00 +0000 +0000,2015-12-18 00:00:00 +0000 +0000,145041,R
1144,https://myanimelist.net/anime/1144/Tenchi_Muyou_in_Love_2__Haruka_Naru_Omoi,https://cdn.myanimelist.net/images/anime/6/61773.jpg?s=a579ad92289f0b490787e8fa98efa9d4,Tenchi Muyou! in Love 2: Haruka Naru Omoi,false,"Tenchi runs off into the woods to spend some time alone after his friends have another argument. While lost in thought, he hears a voice coming from a camellia tree. Tenshi approaches it and vanishes...",Movie,1,7.210000,1999-04-24 00:00:00 +0000 +0000,1999-04-24 00:00:00 +0000 +0000,14316,R+
1637,https://myanimelist.net/anime/1637/Kaze_to_Ki_no_Uta_Sanctus__Sei_Naru_Kana,https://cdn.myanimelist.net/images/anime/5/33835.jpg?s=21f12bbd91c702e4fb026c6dd325655a,Kaze to Ki no Uta Sanctus: Sei Naru Kana,false,"1887, at a remote, elite boarding school in France: Serge Battour returns after his graduation, and remembers the days of his youth... 1880, at the same school: Son of a viscount and a Roma prostitute...",OVA,1,6.870000,1987-11-06 00:00:00 +0000 +0000,1987-11-06 00:00:00 +0000 +0000,12140,R+
5554,https://myanimelist.net/anime/5554/Eguchi_Hisashi_no_Nantoka_Narudesho,https://cdn.myanimelist.net/images/anime/11/58919.jpg?s=4dc99179d2fa12caad791f01ad4bc7d6,Eguchi Hisashi no Nantoka Narudesho!,false,"Part anime, part live action, and part puppet show. This MAL entry duration will reflect the anime segment only. Nantoka Narudesho is a series of seemingly unrelated sketches. Viewer-be-warned, some s...",OVA,1,5.020000,1990-01-25 00:00:00 +0000 +0000,1990-01-25 00:00:00 +0000 +0000,1483,R+
3350,https://myanimelist.net/anime/3350/Kininaru_Kimochi,https://cdn.myanimelist.net/images/anime/1343/104145.jpg?s=aff800777c885137823113e3fe9cc1f7,Kininaru Kimochi,false,"Contains three sexy elevator stories! Illusional Elevator Rikako Sawada was there for an interview, not knowing she was getting more! Told to change into an elevator girl's uniform, she waited in the...",OVA,4,6.120000,2004-04-29 00:00:00 +0000 +0000,2006-08-11 00:00:00 +0000 +0000,3549,Rx
